ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-08,17962.324714860068,-62577.08049439335,55966.96487234977,17962.324692169437,17962.324737715357,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-4719.055007378054
2025-12-15,18603.30474100263,-60394.216237336936,54223.99492937408,18603.304671035618,18603.30481472356,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-4078.0749812354916
2025-12-22,19244.2847671452,-60828.563636563216,59410.215428734606,19244.2846300668,19244.284914526725,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-3437.0949550929217
2025-12-29,19885.264793287766,-59647.49111203095,58597.55338887203,19885.264573884575,19885.265024434535,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-2796.1149289503555
2026-01-05,20526.244819430332,-57374.26367701603,59261.88784269909,20526.244509039654,20526.245142471595,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-2155.1349028077893
2026-01-12,21167.2248455729,-60876.48846031566,58985.579327807725,21167.22443553063,21167.225280574916,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-1514.1548766652231
2026-01-19,21808.20487171547,-58815.88191867306,54730.01358558572,21808.204372674438,21808.20542348412,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-873.1748505226533
2026-01-26,22449.18489785803,-64250.20755389364,59699.604037086596,22449.184269101785,22449.185595572057,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,-232.19482438009072
2026-02-02,23090.1649240006,-55524.682348988965,60186.78880571066,23090.164152754547,23090.16576836122,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,408.7852017624791
2026-02-09,23731.144950143163,-58533.525019250614,60518.747295018395,23731.144035437228,23731.145924050135,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,1049.7652279050417
2026-02-16,24372.124976285733,-55586.02326660717,58607.71962806831,24372.123905566405,24372.126098884073,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,1690.7452540476115
2026-02-23,25013.105002428296,-52565.106997452494,57309.18796483442,25013.103772981467,25013.10628395646,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,2331.725280190174
2026-03-02,25654.085028570862,-55722.9532153191,64630.51410941804,25654.083634302162,25654.086470992304,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,-22681.37972223812,0.0,0.0,0.0,2972.7053063327403
